GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US34001,34001,"Atlantic County, New Jersey",12317,1342,31758,2061,52499,2315,77971,3401,156248,10603,262749,37690
0500000US34003,34003,"Bergen County, New Jersey",17458,1062,46291,1583,75945,2021,114910,3038,262488,10696,480790,30857
0500000US34005,34005,"Burlington County, New Jersey",18942,1316,43485,1729,67410,2075,97078,2606,175339,7483,272270,21655
0500000US34007,34007,"Camden County, New Jersey",13051,928,35005,1480,57255,1648,85343,2519,170050,8378,279844,25693
0500000US34009,34009,"Cape May County, New Jersey",12549,1765,31083,2269,50675,3388,78012,3976,171988,18886,310871,62949
0500000US34011,34011,"Cumberland County, New Jersey",10667,1175,27405,2423,47458,3283,70866,3473,123572,7293,173340,20255
0500000US34013,34013,"Essex County, New Jersey",9608,795,29735,1282,52579,1370,85987,2252,219669,8801,406885,27473
0500000US34015,34015,"Gloucester County, New Jersey",16064,1627,41769,2002,66333,2710,98062,3204,172332,8820,257368,26634
0500000US34017,34017,"Hudson County, New Jersey",9724,614,26848,1225,49116,1777,78943,2543,176936,10352,305988,33081
0500000US34019,34019,"Hunterdon County, New Jersey",24717,2377,56410,4578,92381,5781,140707,9456,299487,33166,543422,107390
0500000US34021,34021,"Mercer County, New Jersey",14499,1270,39091,2287,65568,2808,102492,3825,238543,22977,460653,82775
0500000US34023,34023,"Middlesex County, New Jersey",17575,1168,46169,1474,72728,1914,105386,2184,183673,5226,272874,13902
0500000US34025,34025,"Monmouth County, New Jersey",17612,981,46649,1727,77526,2125,114522,2427,235888,8552,396173,23479
0500000US34027,34027,"Morris County, New Jersey",23677,1497,56923,2276,89592,2856,130454,3615,290427,14248,525015,44606
0500000US34029,34029,"Ocean County, New Jersey",14053,690,33672,1460,55664,1744,85338,1915,158562,5512,245542,14974
0500000US34031,34031,"Passaic County, New Jersey",10544,1064,29404,1672,50775,1888,83336,2668,163571,8837,259744,26477
0500000US34033,34033,"Salem County, New Jersey",11723,2050,33923,4320,57863,4252,82213,3990,129631,6916,180472,11810
0500000US34035,34035,"Somerset County, New Jersey",24466,1962,60293,2767,92086,3100,133155,4522,286976,17420,501170,49280
0500000US34037,34037,"Sussex County, New Jersey",22945,2255,53003,3097,79039,4001,108860,4334,192848,13341,297132,36367
0500000US34039,34039,"Union County, New Jersey",15253,1165,38082,1672,62762,1929,97761,2953,224026,10866,400996,32565
0500000US34041,34041,"Warren County, New Jersey",16403,1566,40030,2398,63033,3376,91600,3057,166646,12468,251313,33320
0500000US42001,42001,"Adams County, Pennsylvania",15108,1634,34755,2743,53964,3060,75732,3902,127067,11161,188928,38079
0500000US42003,42003,"Allegheny County, Pennsylvania",9957,392,25539,639,43917,861,69576,1089,156800,5939,283990,20699
0500000US42005,42005,"Armstrong County, Pennsylvania",9776,1518,23315,1543,36990,2245,56731,3214,102773,7374,149312,16615
0500000US42007,42007,"Beaver County, Pennsylvania",10736,1067,26685,1714,43062,1857,63984,2357,120677,9789,196456,33360
0500000US42011,42011,"Berks County, Pennsylvania",13435,939,31984,1239,49836,1285,71914,1765,135565,6490,218149,20523
0500000US42013,42013,"Blair County, Pennsylvania",10526,864,24140,1695,39757,2449,58657,2916,112342,9283,189386,30433
0500000US42017,42017,"Bucks County, Pennsylvania",17612,1099,44338,1658,71095,1794,104637,2400,207948,10454,347591,32212
0500000US42019,42019,"Butler County, Pennsylvania",13381,968,31222,1646,53440,1960,77120,2915,149907,11031,245999,36010
0500000US42021,42021,"Cambria County, Pennsylvania",9885,809,21989,1236,34861,2016,56445,2701,109373,9469,172145,27719
0500000US42027,42027,"Centre County, Pennsylvania",8309,1526,23764,2320,41196,2774,67610,4142,137885,13611,231910,44893
0500000US42029,42029,"Chester County, Pennsylvania",18183,1263,48622,1756,77795,2310,118056,3224,243967,11772,401934,31732
0500000US42033,42033,"Clearfield County, Pennsylvania",10355,1059,21197,1473,33999,2040,53266,3111,100303,9407,160991,27273
0500000US42037,42037,"Columbia County, Pennsylvania",11101,1070,23926,1944,39073,2148,57194,2832,102815,6477,153948,16404
0500000US42039,42039,"Crawford County, Pennsylvania",10672,1048,22646,1619,35740,1905,52708,2318,103910,8027,166736,20655
0500000US42041,42041,"Cumberland County, Pennsylvania",15140,1418,34940,1530,55705,2358,81545,2525,155486,10023,257965,33207
0500000US42043,42043,"Dauphin County, Pennsylvania",11562,1049,29770,1710,49149,2246,73119,2228,135222,6080,210058,19758
0500000US42045,42045,"Delaware County, Pennsylvania",13468,855,34002,1164,55436,1474,87532,2451,184589,8048,317595,26834
0500000US42049,42049,"Erie County, Pennsylvania",9328,782,24148,1218,39831,1489,61592,1992,121711,7333,197683,23392
0500000US42051,42051,"Fayette County, Pennsylvania",8796,715,18169,1273,31867,2550,50992,3190,96598,5776,141380,11139
0500000US42055,42055,"Franklin County, Pennsylvania",14345,1370,32044,2072,49791,2395,69538,2724,131074,18987,223862,69602
0500000US42063,42063,"Indiana County, Pennsylvania",9957,884,22446,1731,38545,2119,57013,3080,99103,4935,142881,10304
0500000US42069,42069,"Lackawanna County, Pennsylvania",9451,740,22279,1117,38861,1841,62902,2042,124380,9077,204032,32642
0500000US42071,42071,"Lancaster County, Pennsylvania",13573,949,34055,1187,52312,1172,74825,1741,151278,7967,268212,26871
0500000US42073,42073,"Lawrence County, Pennsylvania",11210,1191,24581,1883,39490,2640,60720,3467,114632,9224,182301,25165
0500000US42075,42075,"Lebanon County, Pennsylvania",14040,1713,31665,2265,49584,2687,70822,2174,121095,9282,184024,27708
0500000US42077,42077,"Lehigh County, Pennsylvania",12232,878,30312,1430,48972,2007,75947,2693,151203,6426,243246,17820
0500000US42079,42079,"Luzerne County, Pennsylvania",9645,670,23141,1028,39285,1328,59639,1626,118318,5183,195127,15436
0500000US42081,42081,"Lycoming County, Pennsylvania",9556,952,23198,1543,38758,2032,58701,2786,113388,7748,185361,23929
0500000US42085,42085,"Mercer County, Pennsylvania",10279,1034,22789,1442,38247,2340,60415,2741,118008,8646,191621,23620
0500000US42089,42089,"Monroe County, Pennsylvania",11852,1855,31665,2605,49966,3139,74421,4109,133304,9528,201013,28405
0500000US42091,42091,"Montgomery County, Pennsylvania",18209,799,44821,1032,71418,1512,105494,2092,227930,8986,407132,26925
0500000US42095,42095,"Northampton County, Pennsylvania",14101,887,33931,1939,54520,2012,83790,3050,152350,7039,232099,20947
0500000US42097,42097,"Northumberland County, Pennsylvania",8990,1084,21060,1947,35967,2489,55916,3030,97374,6408,144517,14689
0500000US42101,42101,"Philadelphia County, Pennsylvania",5741,349,17835,641,33318,794,55337,1219,118313,3499,195170,11623
0500000US42107,42107,"Schuylkill County, Pennsylvania",9951,928,23702,1489,38136,1741,55715,2220,98989,4222,142114,10527
0500000US42111,42111,"Somerset County, Pennsylvania",9355,1088,21084,1636,34511,2333,53164,3440,103107,8614,163948,23943
0500000US42125,42125,"Washington County, Pennsylvania",11252,1022,27646,1708,45794,2168,71117,2618,144418,10045,245137,30855
0500000US42129,42129,"Westmoreland County, Pennsylvania",11327,758,26214,1078,43682,1552,66603,1896,126699,6031,202281,21061
0500000US42133,42133,"York County, Pennsylvania",14705,849,34307,1179,52771,1643,75810,1927,133629,5754,205675,16171
